general_id;idesco_level_1;esco_level_1;idesco_level_4;esco_level_4;idescoskill_level_3;escoskill_level_3;year;skill_type;areaprof_aggregato
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_1408;prioritise tasks;2019;Transversal;Marketing, Assistenza clienti e Vendita
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_1683;assist customers;2019;Professional;Marketing, Assistenza clienti e Vendita
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_1900;create solutions to problems;2019;Professional;Marketing, Assistenza clienti e Vendita
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_3170;speak in public;2019;Transversal;Marketing, Assistenza clienti e Vendita
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_3976;implement sales strategies;2019;Professional;Marketing, Assistenza clienti e Vendita
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_4076;use communication techniques;2019;Transversal;Marketing, Assistenza clienti e Vendita
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_6195;communication principles;2019;Professional;Marketing, Assistenza clienti e Vendita
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_6638;measure customer feedback;2019;Professional;Marketing, Assistenza clienti e Vendita
163532733;4;Clerical support workers;4222;Contact centre information clerks;ESCOv1_7303;communicate with customers;2019;Transversal;Marketing, Assistenza clienti e Vendita
161636265;3;Technicians and associate professionals;3322;Commercial sales representatives;ESCOv1_1024;sales strategies;2019;Professional;Marketing, Assistenza clienti e Vendita
161636265;3;Technicians and associate professionals;3322;Commercial sales representatives;ESCOv1_1477;sales promotion techniques;2019;Professional;Marketing, Assistenza clienti e Vendita
161636265;3;Technicians and associate professionals;3322;Commercial sales representatives;ESCOv1_3767;analyse call centre activities;2019;Professional;Marketing, Assistenza clienti e Vendita
161636265;3;Technicians and associate professionals;3322;Commercial sales representatives;ESCOv1_4433;sales activities;2019;Professional;Marketing, Assistenza clienti e Vendita
161636265;3;Technicians and associate professionals;3322;Commercial sales representatives;ESCOv1_4531;customer segmentation;2019;Professional;Marketing, Assistenza clienti e Vendita
161634412;4;Clerical support workers;4313;Payroll clerks;ESCOv1_3671;keep company;2019;Professional;Amministrazione, Contabilità, Segreteria e Gestione del personale
163521638;4;Clerical support workers;4322;Production clerks;ESCOv1_12636;control production;2019;Professional;Ciclo produttivo
163521638;4;Clerical support workers;4322;Production clerks;ESCOv1_4392;manufacturing processes;2019;Professional;Ciclo produttivo
163521638;4;Clerical support workers;4322;Production clerks;ESCOv1_7314;use a computer;2019;Digital;Ciclo produttivo
168315478;2;Professionals;2262;Pharmacists;ESCOv1_1678;work in teams;2019;Transversal;Marketing, Assistenza clienti e Vendita
168315478;2;Professionals;2262;Pharmacists;ESCOv1_7321;medicines;2019;Professional;Marketing, Assistenza clienti e Vendita
168315478;2;Professionals;2262;Pharmacists;ESCOv1_1678;work in teams;2019;Transversal;Marketing, Assistenza clienti e Vendita
168315478;2;Professionals;2262;Pharmacists;ESCOv1_7321;medicines;2019;Professional;Marketing, Assistenza clienti e Vendita
160198363;3;Technicians and associate professionals;3512;Information and communications technology user support technicians;ESCOv1_1683;assist customers;2019;Professional;Sistemi informativi
160198363;3;Technicians and associate professionals;3512;Information and communications technology user support technicians;ESCOv1_4543;customer service;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_10532;manage ICT data architecture;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_10532;manage ICT data architecture;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_11055;define ICT network design policies;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_11055;define ICT network design policies;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_11908;ICT security standards;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_11908;ICT security standards;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_13350;ICT networking hardware;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_13350;ICT networking hardware;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_1900;create solutions to problems;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_1900;create solutions to problems;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_1954;information security strategy;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_1954;information security strategy;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_5493;ICT network simulation;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_5493;ICT network simulation;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_6084;ICT security legislation;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_6084;ICT security legislation;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_6718;manage data;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_6718;manage data;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_7314;use a computer;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_7314;use a computer;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_8013;outsourcing strategy;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_8013;outsourcing strategy;2019;Professional;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_866;ICT infrastructure;2019;Digital;Sistemi informativi
163516970;2;Professionals;2522;Systems administrators;ESCOv1_866;ICT infrastructure;2019;Digital;Sistemi informativi
