idesco_level_1;esco_level_1;idesco_level_4;esco_level_4;2019;2023;tot
3;Technicians and associate professionals;3344;Medical secretaries;23;2351;2374
4;Clerical support workers;4224;Hotel receptionists;546;2803;3349
3;Technicians and associate professionals;3211;Medical imaging and therapeutic equipment technicians;246;1015;1261
2;Professionals;2635;Social work and counselling professionals;4494;16587;21081
3;Technicians and associate professionals;3352;Government tax and excise officials;452;1240;1692
4;Clerical support workers;4412;Mail carriers and sorting clerks;334;864;1198
3;Technicians and associate professionals;3434;Chefs;5244;12567;17811
2;Professionals;2265;Dieticians and nutritionists;447;1047;1494
1;Managers;1323;Construction managers;498;1160;1658
2;Professionals;2264;Physiotherapists ;1690;3916;5606
2;Professionals;2263;Environmental and occupational health and hygiene professionals;1277;2806;4083
3;Technicians and associate professionals;3332;Conference and event planners;2851;6078;8929
2;Professionals;2161;Building architects;1970;4107;6077
3;Technicians and associate professionals;3521;Broadcasting and audio-visual technicians;919;1904;2823
3;Technicians and associate professionals;3123;Construction supervisors;3666;7420;11086
3;Technicians and associate professionals;3251;Dental assistants and therapists;629;1226;1855
3;Technicians and associate professionals;3212;Medical and pathology laboratory technicians ;347;675;1022
4;Clerical support workers;4226;Receptionists (general);18600;35679;54279
3;Technicians and associate professionals;3411;Legal and related associate professionals;848;1615;2463
3;Technicians and associate professionals;3315;Valuers and loss assessors;5163;9732;14895
2;Professionals;2142;Civil engineers;3246;6067;9313
2;Professionals;2634;Psychologists;528;975;1503
4;Clerical support workers;4419;Clerical support workers not elsewhere classified;25708;47193;72901
3;Technicians and associate professionals;3259;Health associate professionals not elsewhere classified;875;1488;2363
4;Clerical support workers;4211;Bank tellers and related clerks;1032;1707;2739
2;Professionals;2212;Specialist medical practitioners ;4796;7861;12657
3;Technicians and associate professionals;3412;Social work associate professionals;1695;2770;4465
2;Professionals;2250;Veterinarians;418;674;1092
3;Technicians and associate professionals;3256;Medical assistants;404;637;1041
1;Managers;1412;Restaurant managers;1904;2988;4892
4;Clerical support workers;4312;Statistical, finance and insurance clerks;34186;52800;86986
4;Clerical support workers;4313;Payroll clerks;7871;12091;19962
3;Technicians and associate professionals;3221;Nursing associate professionals;5311;8003;13314
4;Clerical support workers;4321;Stock clerks;20222;29898;50120
4;Clerical support workers;4110;General office clerks;20852;30731;51583
1;Managers;1411;Hotel managers;3129;4597;7726
4;Clerical support workers;4132;Data entry clerks;3622;5307;8929
2;Professionals;2269;Health professionals not elsewhere classified;970;1390;2360
3;Technicians and associate professionals;3122;Manufacturing supervisors;8926;12631;21557
2;Professionals;2164;Town and traffic planners;1881;2654;4535
3;Technicians and associate professionals;3343;Administrative and executive secretaries;74362;101831;176193
4;Clerical support workers;4120;Secretaries (general);28078;38399;66477
4;Clerical support workers;4222;Contact centre information clerks;4430;6053;10483
3;Technicians and associate professionals;3255;Physiotherapy technicians and assistants;766;1045;1811
4;Clerical support workers;4225;Enquiry clerks;11135;14728;25863
2;Professionals;2143;Environmental engineers;1965;2591;4556
4;Clerical support workers;4311;Accounting and bookkeeping clerks;48524;63310;111834
2;Professionals;2659;Creative and performing artists not elsewhere classified;627;814;1441
3;Technicians and associate professionals;3112;Civil engineering technicians;2208;2852;5060
2;Professionals;2149;Engineering professionals not elsewhere classified;48691;62157;110848
3;Technicians and associate professionals;3313;Accounting associate professionals;15080;19180;34260
4;Clerical support workers;4416;Personnel clerks;8637;10878;19515
4;Clerical support workers;4227;Survey and market research interviewers;594;748;1342
2;Professionals;2422;Policy administration professionals;2271;2853;5124
2;Professionals;2529;Database and network professionals not elsewhere classified;4633;5813;10446
4;Clerical support workers;4323;Transport clerks;3987;4977;8964
3;Technicians and associate professionals;3323;Buyers;30934;38079;69013
2;Professionals;2165;Cartographers and surveyors;452;548;1000
2;Professionals;2153;Telecommunications engineers;1758;2119;3877
3;Technicians and associate professionals;3111;Chemical and physical science technicians;1405;1668;3073
2;Professionals;2151;Electrical engineers;2731;3235;5966
3;Technicians and associate professionals;3119;Physical and engineering science technicians not elsewhere classified;14496;17067;31563
3;Technicians and associate professionals;3141;Life science technicians (excluding medical);5935;6916;12851
4;Clerical support workers;4229;Client information workers not elsewhere classified;12324;14011;26335
2;Professionals;2261;Dentists;1102;1249;2351
2;Professionals;2642;Journalists;1923;2171;4094
1;Managers;1223;Research and development managers;32754;36964;69718
4;Clerical support workers;4214;Debt-collectors and related workers;3155;3523;6678
3;Technicians and associate professionals;3341;Office supervisors;8694;9695;18389
3;Technicians and associate professionals;3113;Electrical engineering technicians;5701;6271;11972
2;Professionals;2652;Musicians, singers and composers;975;1071;2046
3;Technicians and associate professionals;3118;Draughtspersons;57438;61948;119386
4;Clerical support workers;4221;Travel consultants and clerks;2292;2465;4757
4;Clerical support workers;4212;Bookmakers, croupiers and related gaming workers;508;545;1053
2;Professionals;2421;Management and organization analysts;25919;27741;53660
3;Technicians and associate professionals;3115;Mechanical engineering technicians;15266;16235;31501
2;Professionals;2641;Authors and related writers;1215;1290;2505
2;Professionals;2141;Industrial and production engineers;19609;20805;40414
2;Professionals;2433;Technical and medical sales professionals (excluding ICT);13147;13873;27020
2;Professionals;2411;Accountants;14305;15082;29387
3;Technicians and associate professionals;3432;Interior designers and decorators;3924;4117;8041
4;Clerical support workers;4322;Production clerks;13501;14064;27565
2;Professionals;2113;Chemists;2783;2788;5571
1;Managers;1211;Finance managers;3501;3505;7006
2;Professionals;2431;Advertising and marketing professionals;56041;55743;111784
2;Professionals;2619;Legal professionals not elsewhere classified;5111;5043;10154
3;Technicians and associate professionals;3314;Statistical, mathematical and related associate professionals;912;884;1796
2;Professionals;2424;Training and staff development professionals;1177;1137;2314
2;Professionals;2163;Product and garment designers;1156;1114;2270
2;Professionals;2412;Financial and investment advisers;4020;3870;7890
2;Professionals;2221;Nursing professionals;5712;5495;11207
3;Technicians and associate professionals;3214;Medical and dental prosthetic technicians;542;520;1062
